participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses,had_incorrect_press,first_incorrect_ms
20567310,23,pretest,1,n,FALSE,1010.26,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,2,v,FALSE,466.71,Good,2,Good,,v,v,1,FALSE,
20567310,23,pretest,3,m,FALSE,350.6,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,4,n,FALSE,1013.41,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,5,v,FALSE,383.17,Good,2,Good,,v,v,1,FALSE,
20567310,23,pretest,6,m,FALSE,397.97,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,7,n,FALSE,1015.23,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,8,n,FALSE,1000.49,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,9,n,FALSE,1008.16,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,10,n,FALSE,1014.81,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,11,v,FALSE,491.14,Good,2,Good,,v,v,1,FALSE,
20567310,23,pretest,12,m,FALSE,416.19,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,13,m,FALSE,425.84,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,14,b,FALSE,591.69,Late,1,Late,,b,b,1,FALSE,
20567310,23,pretest,15,b,FALSE,384.0,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,16,b,FALSE,330.09,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,17,m,FALSE,401.2,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,18,m,FALSE,333.06,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,19,n,FALSE,1016.43,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,20,b,FALSE,415.94,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,21,n,FALSE,1002.62,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,22,b,FALSE,312.16,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,23,n,FALSE,1002.09,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,24,b,FALSE,313.13,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,25,m,FALSE,384.44,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,26,m,FALSE,411.26,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,27,m,FALSE,446.84,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,28,v,FALSE,444.49,Good,2,Good,,v,v,1,FALSE,
20567310,23,pretest,29,b,FALSE,410.94,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,30,v,FALSE,517.64,Late,1,Late,,v,v,1,FALSE,
20567310,23,pretest,31,v,FALSE,362.04,Good,2,Good,,v,v,1,FALSE,
20567310,23,pretest,32,m,FALSE,360.95,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,33,m,FALSE,369.55,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,34,b,FALSE,432.87,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,35,m,FALSE,364.92,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,36,b,FALSE,313.17,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,37,b,FALSE,316.75,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,38,b,FALSE,282.27,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,39,m,FALSE,299.15,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,40,b,FALSE,282.22,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,41,n,FALSE,1014.24,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,42,n,FALSE,1007.24,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,43,b,FALSE,346.09,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,44,n,FALSE,1007.45,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,45,n,FALSE,1004.32,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,46,b,FALSE,331.7,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,47,n,FALSE,1012.82,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,pretest,48,b,FALSE,331.66,Good,2,Good,,b,b,1,FALSE,
20567310,23,pretest,49,m,FALSE,334.25,Good,2,Good,,m,m,1,FALSE,
20567310,23,pretest,50,m,FALSE,334.23,Good,2,Good,,m,m,1,FALSE,
20567310,23,main,1,b,FALSE,524.67,Late,1,Late,,b,b,1,FALSE,
20567310,23,main,2,v,FALSE,803.25,Late,1,Late,,v,v,1,TRUE,451.89
20567310,23,main,3,n,FALSE,1012.45,Miss,-2,Miss!,timeout,,n,0,FALSE,
20567310,23,main,4,b,FALSE,384.98,Good,2,Good,,b,b,1,FALSE,
20567310,23,main,5,m,FALSE,413.43,Good,2,Good,,m,m,1,FALSE,
20567310,23,main,6,v,FALSE,417.25,Good,2,Good,,v,v,1,FALSE,
20567310,23,main,7,b,FALSE,368.5,Good,2,Good,,b,b,1,FALSE,
20567310,23,main,8,n,FALSE,1013.67,Miss,-2,Miss!,timeout,,n,0,FALSE,
