participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses,had_incorrect_press,first_incorrect_ms
u,8,pretest,1,b,FALSE,1012.42,Miss,-2,Miss!,timeout,,b,0,FALSE,
u,8,pretest,2,m,FALSE,1010.29,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,3,b,FALSE,1004.45,Miss,-2,Miss!,timeout,,b,0,FALSE,
u,8,pretest,4,b,FALSE,1012.57,Miss,-2,Miss!,timeout,,b,0,FALSE,
u,8,pretest,5,v,FALSE,1012.48,Miss,-2,Miss!,timeout,,v,0,FALSE,
u,8,pretest,6,n,FALSE,1005.52,Miss,-2,Miss!,timeout,,n,0,FALSE,
u,8,pretest,7,b,FALSE,1015.15,Miss,-2,Miss!,timeout,,b,0,FALSE,
u,8,pretest,8,v,FALSE,1007.97,Miss,-2,Miss!,timeout,,v,0,FALSE,
u,8,pretest,9,v,FALSE,1015.4,Miss,-2,Miss!,timeout,,v,0,FALSE,
u,8,pretest,10,m,FALSE,1013.41,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,11,m,FALSE,1000.28,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,12,m,FALSE,1010.33,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,13,v,FALSE,1005.96,Miss,-2,Miss!,timeout,,v,0,FALSE,
u,8,pretest,14,n,FALSE,1002.37,Miss,-2,Miss!,timeout,,n,0,FALSE,
u,8,pretest,15,b,FALSE,1000.91,Miss,-2,Miss!,timeout,,b,0,FALSE,
u,8,pretest,16,n,FALSE,1014.41,Miss,-2,Miss!,timeout,,n,0,FALSE,
u,8,pretest,17,m,FALSE,1001.64,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,18,m,FALSE,1010.21,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,19,n,FALSE,1012.66,Miss,-2,Miss!,timeout,,n,0,FALSE,
u,8,pretest,20,n,FALSE,1011.37,Miss,-2,Miss!,timeout,,n,0,FALSE,
u,8,pretest,21,b,FALSE,1016.11,Miss,-2,Miss!,timeout,,b,0,FALSE,
u,8,pretest,22,b,FALSE,1015.7,Miss,-2,Miss!,timeout,,b,0,FALSE,
u,8,pretest,23,m,FALSE,1009.02,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,24,m,FALSE,1006.39,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,25,m,FALSE,1009.87,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,26,m,FALSE,1007.99,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,27,n,FALSE,1003.3,Miss,-2,Miss!,timeout,,n,0,FALSE,
u,8,pretest,28,v,FALSE,1016.67,Miss,-2,Miss!,timeout,,v,0,FALSE,
u,8,pretest,29,b,FALSE,1008.21,Miss,-2,Miss!,timeout,,b,0,FALSE,
u,8,pretest,30,n,FALSE,1008.37,Miss,-2,Miss!,timeout,,n,0,FALSE,
u,8,pretest,31,b,FALSE,1004.04,Miss,-2,Miss!,timeout,,b,0,FALSE,
u,8,pretest,32,m,FALSE,1004.47,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,33,v,FALSE,1006.68,Miss,-2,Miss!,timeout,,v,0,FALSE,
u,8,pretest,34,b,FALSE,1016.16,Miss,-2,Miss!,timeout,,b,0,FALSE,
u,8,pretest,35,n,FALSE,1004.73,Miss,-2,Miss!,timeout,,n,0,FALSE,
u,8,pretest,36,m,FALSE,1013.54,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,37,m,FALSE,1006.92,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,38,m,FALSE,1012.1,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,39,m,FALSE,1006.27,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,40,b,FALSE,1001.07,Miss,-2,Miss!,timeout,,b,0,FALSE,
u,8,pretest,41,m,FALSE,1013.71,Miss,-2,Miss!,timeout,,m,0,FALSE,
u,8,pretest,42,b,FALSE,1012.54,Miss,-2,Miss!,timeout,,b,0,FALSE,
u,8,pretest,43,v,FALSE,1003.18,Miss,-2,Miss!,timeout,,v,0,FALSE,
u,8,pretest,44,v,FALSE,1010.47,Miss,-2,Miss!,timeout,,v,0,FALSE,
u,8,pretest,45,v,FALSE,1009.69,Miss,-2,Miss!,timeout,,v,0,FALSE,
